STRUCTURE_NUMBER_008,LAT_016,LONG_017,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071
1.08E+13,33.35371111111111,-95.2467,1.0,9.0,1.0,7,7,7,6,N,7.0,8,N,5.0,6
1.08E+13,33.26533888888889,-95.23551666666667,1.0,9.0,1.0,6,6,6,5,N,6.0,7,N,5.0,6
1.08E+13,33.26826388888889,-95.23674722222222,1.0,9.0,1.0,7,7,7,7,N,7.0,7,N,5.0,6
1.08E+13,33.27354166666667,-95.23896111111111,1.0,5.0,1.0,7,7,6,6,N,6.0,7,N,5.0,6
1.08E+13,33.27786944444444,-95.24074722222223,1.0,9.0,1.0,7,7,7,6,N,7.0,7,N,5.0,6
1.08E+13,33.07383888888889,-95.26757222222223,1.0,5.0,1.0,N,N,N,6,6,6.0,N,N,5.0,6
1.08E+13,33.046475,-95.26880555555556,1.0,5.0,1.0,6,6,7,6,N,6.0,9,N,5.0,6
1.08E+13,33.02650833333333,-95.26928611111111,1.0,5.0,1.0,7,7,6,7,N,6.0,9,N,5.0,6
1.08E+13,33.02347777777778,-95.27019166666666,1.0,5.0,1.0,7,7,7,7,N,7.0,9,N,5.0,5
1.08E+13,33.38260833333334,-95.12706944444444,1.0,9.0,5.0,7,7,6,6,N,6.0,9,N,5.0,9
1.08E+13,33.16611111111111,-95.3070861111111,1.0,1.0,5.0,7,7,6,N,N,6.0,2,6,5.0,N
1.08E+13,33.16558888888889,-95.29704722222222,1.0,5.0,1.0,6,6,6,6,N,6.0,5,N,5.0,6
1.08E+13,33.16540833333333,-95.29707499999999,1.0,5.0,1.0,6,6,5,6,N,5.0,5,N,5.0,6
1.08E+13,33.165863888888886,-95.29703333333333,1.0,5.0,1.0,N,N,N,5,6,6.0,7,N,5.0,4
1.08E+13,33.165147222222224,-95.29711388888889,1.0,5.0,1.0,N,N,N,5,6,6.0,6,N,5.0,4
1.08E+13,33.16573333333333,-95.29484166666667,1.0,9.0,1.0,N,N,N,5,6,6.0,6,N,5.0,4
1.08E+13,33.16501111111111,-95.29491388888889,1.0,9.0,1.0,N,N,N,5,6,6.0,6,N,5.0,4
1.08E+13,33.16545833333333,-95.29488888888889,1.0,9.0,1.0,7,6,5,6,N,5.0,5,N,5.0,6
1.08E+13,33.165277777777774,-95.2949111111111,1.0,9.0,1.0,5,6,5,6,N,5.0,5,N,5.0,6
1.08E+13,33.164202777777774,-95.27404722222222,1.0,1.0,1.0,6,6,7,N,N,6.0,5,5,5.0,N
1.08E+13,33.16401944444444,-95.27407222222222,1.0,1.0,1.0,6,5,6,7,N,5.0,5,5,5.0,N
1.08E+13,33.16204166666667,-95.23817222222222,1.0,5.0,1.0,5,6,7,5,N,6.0,5,N,5.0,6
1.08E+13,33.161855555555555,-95.23818888888889,1.0,5.0,1.0,6,6,6,6,N,6.0,5,N,5.0,6
1.08E+13,33.16262777777778,-95.23821944444444,1.0,5.0,1.0,6,6,7,6,N,6.0,5,N,5.0,7
1.08E+13,33.161386111111106,-95.23819722222223,1.0,5.0,1.0,6,6,7,6,N,6.0,4,N,5.0,7
1.08E+13,33.16283333333333,-95.21711111111111,6.0,1.0,1.0,6,6,6,N,N,6.0,5,4,5.0,N
1.08E+13,33.162591666666664,-95.21711388888889,6.0,1.0,1.0,6,6,6,N,N,6.0,5,4,5.0,N
1.08E+13,33.16271944444444,-95.17568055555556,1.0,1.0,1.0,6,6,6,N,N,6.0,5,4,5.0,N
1.08E+13,33.16253888888889,-95.17565833333333,1.0,1.0,1.0,6,6,6,N,N,6.0,5,3,5.0,N
1.08E+13,33.161075,-95.13182777777777,1.0,1.0,5.0,7,7,6,N,N,6.0,2,6,5.0,N
1.08E+13,33.162127777777776,-95.23476388888889,6.0,1.0,5.0,7,7,5,N,N,5.0,9,7,5.0,N
1.08E+13,33.10106944444445,-95.29686111111111,1.0,5.0,1.0,N,N,N,6,7,6.0,N,N,5.0,6
1.08E+13,33.02450833333333,-95.18283055555555,1.0,5.0,1.0,N,N,N,6,7,6.0,9,N,5.0,6
1.08E+13,33.00161388888889,-95.18153055555555,1.0,5.0,1.0,N,N,N,5,6,6.0,9,N,5.0,6
1.08E+13,32.97515833333333,-95.18440833333334,1.0,5.0,1.0,7,7,6,6,N,6.0,6,N,5.0,6
